epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
100,24140.5,0.10911,0.1749,0.04255,0.91853,0.87648,0.87977,0.64214,0.36352,0.34951,0.21191,1.02E-06,1.02E-06,1.02E-06
99,23743.9,0.10933,0.17521,0.04237,0.91768,0.87855,0.88022,0.64145,0.36439,0.34924,0.21182,1.10E-06,1.10E-06,1.10E-06
98,23346.1,0.10863,0.17493,0.04248,0.90898,0.88501,0.88016,0.6412,0.3644,0.34916,0.2117,1.22E-06,1.22E-06,1.22E-06
97,22948.7,0.1098,0.17601,0.04264,0.91532,0.87969,0.8798,0.64028,0.36598,0.34897,0.21281,1.39E-06,1.39E-06,1.39E-06
96,22552.8,0.11038,0.17632,0.04312,0.91174,0.88148,0.87911,0.63928,0.36653,0.34886,0.21259,1.61E-06,1.61E-06,1.61E-06
95,22152.8,0.11016,0.17643,0.04303,0.90822,0.88405,0.87869,0.63795,0.36692,0.35001,0.21311,1.88E-06,1.88E-06,1.88E-06
94,21751.4,0.11088,0.17694,0.04339,0.9131,0.87963,0.8784,0.63591,0.36849,0.35078,0.21474,2.19E-06,2.19E-06,2.19E-06
93,21349.4,0.11128,0.17771,0.04351,0.91114,0.88092,0.87899,0.6336,0.3711,0.35248,0.21703,2.56E-06,2.56E-06,2.56E-06
92,20949.3,0.11227,0.17881,0.04383,0.91343,0.87898,0.87775,0.63165,0.37168,0.35459,0.21719,2.97E-06,2.97E-06,2.97E-06
91,20547,0.11451,0.18124,0.04447,0.91022,0.88056,0.87717,0.62966,0.37427,0.35534,0.2195,3.42E-06,3.42E-06,3.42E-06
90,20144.9,0.12311,0.19063,0.04173,0.91257,0.8792,0.87727,0.62686,0.3769,0.3576,0.22216,3.93E-06,3.93E-06,3.93E-06
89,19743.5,0.12286,0.19023,0.04178,0.91268,0.87877,0.87706,0.62496,0.37994,0.35902,0.22546,4.48E-06,4.48E-06,4.48E-06
88,19341.7,0.12476,0.19194,0.04192,0.91496,0.87654,0.87759,0.62328,0.38243,0.36007,0.22809,5.07E-06,5.07E-06,5.07E-06
87,18940.1,0.12412,0.19112,0.04189,0.90564,0.88437,0.87799,0.61986,0.38539,0.36236,0.23223,5.71E-06,5.71E-06,5.71E-06
86,18538.9,0.12413,0.19148,0.04213,0.90785,0.8848,0.87817,0.61643,0.38842,0.36343,0.23596,6.40E-06,6.40E-06,6.40E-06
85,18137.7,0.12493,0.19281,0.04232,0.90721,0.88329,0.87629,0.61264,0.39237,0.36558,0.24049,7.12E-06,7.12E-06,7.12E-06
84,17734.6,0.12594,0.19323,0.04244,0.90786,0.88243,0.87577,0.60938,0.39753,0.368,0.24662,7.89E-06,7.89E-06,7.89E-06
83,17331.2,0.12593,0.19363,0.04249,0.90667,0.88213,0.87482,0.60449,0.4019,0.37068,0.25157,8.71E-06,8.71E-06,8.71E-06
82,16928.7,0.12654,0.19389,0.04279,0.91301,0.87365,0.8738,0.60087,0.40642,0.37148,0.25585,9.56E-06,9.56E-06,9.56E-06
81,16526.8,0.12727,0.19498,0.04287,0.91377,0.87252,0.87319,0.59694,0.41108,0.37571,0.26041,1.05E-05,1.05E-05,1.05E-05
80,16124.7,0.1274,0.19517,0.043,0.91349,0.8708,0.8702,0.59332,0.41785,0.37688,0.26726,1.14E-05,1.14E-05,1.14E-05
40,16057.1,0.168,0.23511,0.05609,0.9147,0.89793,0.88755,0.66226,0.32483,0.31499,0.18257,6.73E-05,6.73E-05,6.73E-05
79,15726.2,0.1272,0.19503,0.04304,0.91207,0.86886,0.8681,0.58996,0.424,0.37755,0.27271,1.24E-05,1.24E-05,1.24E-05
39,15652.6,0.16977,0.23639,0.05692,0.91721,0.89815,0.88888,0.66259,0.32446,0.31546,0.18079,6.87E-05,6.87E-05,6.87E-05
78,15325.5,0.12761,0.1956,0.04307,0.90549,0.8736,0.86694,0.58607,0.42942,0.37997,0.27837,1.34E-05,1.34E-05,1.34E-05
38,15247,0.17094,0.23727,0.05691,0.9165,0.90095,0.88926,0.66292,0.32468,0.3144,0.18109,7.02E-05,7.02E-05,7.02E-05
77,14925.3,0.12822,0.19683,0.04306,0.90499,0.86951,0.86523,0.58218,0.43584,0.3809,0.28468,1.44E-05,1.44E-05,1.44E-05
37,14844.7,0.17375,0.24061,0.05779,0.91848,0.9003,0.89126,0.66312,0.32403,0.31492,0.18077,7.16E-05,7.16E-05,7.16E-05
76,14526,0.12848,0.19676,0.04327,0.89638,0.86865,0.85883,0.57744,0.44238,0.38227,0.29095,1.55E-05,1.55E-05,1.55E-05
36,14443.7,0.17524,0.24103,0.05834,0.91984,0.89914,0.89099,0.66397,0.32367,0.31267,0.17992,7.30E-05,7.30E-05,7.30E-05
75,14126.4,0.1293,0.1981,0.0437,0.89498,0.86671,0.85656,0.57381,0.44785,0.38118,0.29666,1.66E-05,1.66E-05,1.66E-05
35,14045.1,0.17876,0.24432,0.05969,0.9184,0.89858,0.89079,0.66409,0.32337,0.31135,0.18025,7.43E-05,7.43E-05,7.43E-05
74,13722.5,0.12887,0.19797,0.04362,0.90738,0.85207,0.85332,0.56876,0.45504,0.38137,0.30307,1.78E-05,1.78E-05,1.78E-05
34,13645.5,0.17914,0.24446,0.05978,0.915,0.90295,0.89366,0.66604,0.32296,0.31171,0.1793,7.57E-05,7.57E-05,7.57E-05
73,13319.4,0.12996,0.19852,0.04387,0.90465,0.84991,0.84939,0.56353,0.46207,0.38065,0.30794,1.89E-05,1.89E-05,1.89E-05
33,13243.9,0.1813,0.24566,0.06037,0.91644,0.90461,0.89388,0.66663,0.32378,0.30849,0.17939,7.70E-05,7.70E-05,7.70E-05
72,12916.7,0.13015,0.1991,0.04411,0.90719,0.84477,0.84454,0.55707,0.46941,0.3797,0.31329,2.02E-05,2.02E-05,2.02E-05
32,12842.7,0.18309,0.24776,0.06113,0.92254,0.89686,0.89152,0.66686,0.32269,0.31048,0.17811,7.83E-05,7.83E-05,7.83E-05
71,12513.5,0.13128,0.20052,0.04449,0.90461,0.83958,0.83741,0.5508,0.47764,0.37713,0.3178,2.14E-05,2.14E-05,2.14E-05
31,12441.6,0.18688,0.24993,0.06252,0.91996,0.89967,0.89079,0.66631,0.32353,0.30637,0.18058,7.96E-05,7.96E-05,7.96E-05
70,12108.9,0.13188,0.20171,0.04434,0.90346,0.83333,0.83182,0.54464,0.48505,0.37633,0.32156,2.27E-05,2.27E-05,2.27E-05
30,12038.7,0.18943,0.25321,0.06273,0.91344,0.90897,0.8922,0.6685,0.32152,0.31123,0.17737,8.08E-05,8.08E-05,8.08E-05
69,11706.3,0.13317,0.2027,0.04488,0.90026,0.8273,0.82303,0.53807,0.49355,0.37412,0.32757,2.40E-05,2.40E-05,2.40E-05
29,11625.8,0.19234,0.25525,0.06384,0.91599,0.90435,0.89212,0.66948,0.31912,0.31026,0.17591,8.21E-05,8.21E-05,8.21E-05
68,11304.4,0.13389,0.20387,0.0451,0.89707,0.82228,0.81736,0.53012,0.50206,0.37397,0.3353,2.53E-05,2.53E-05,2.53E-05
28,11221.1,0.19308,0.25637,0.06426,0.92185,0.89793,0.89379,0.67118,0.31879,0.3101,0.17676,8.32E-05,8.32E-05,8.32E-05
67,10903.6,0.13552,0.20496,0.04546,0.89247,0.81939,0.81153,0.52045,0.51138,0.37702,0.34485,2.67E-05,2.67E-05,2.67E-05
27,10816.9,0.19541,0.25733,0.06463,0.91287,0.91002,0.89812,0.67188,0.31905,0.30684,0.17822,8.44E-05,8.44E-05,8.44E-05
66,10499.9,0.13652,0.20627,0.04587,0.88757,0.81675,0.80816,0.51346,0.52049,0.37921,0.3565,2.80E-05,2.80E-05,2.80E-05
26,10412.4,0.19896,0.26008,0.06608,0.91885,0.90449,0.89307,0.67115,0.32246,0.30227,0.18992,8.55E-05,8.55E-05,8.55E-05
65,10096.8,0.13795,0.20738,0.04665,0.88135,0.81115,0.80265,0.50604,0.52929,0.38097,0.36618,2.94E-05,2.94E-05,2.94E-05
25,10009.5,0.20042,0.26156,0.06696,0.92119,0.90612,0.89901,0.67216,0.3183,0.29866,0.18392,8.66E-05,8.66E-05,8.66E-05
64,9694.34,0.13869,0.20884,0.04678,0.87698,0.8068,0.79707,0.4992,0.53703,0.38161,0.37238,3.08E-05,3.08E-05,3.08E-05
24,9609.42,0.20263,0.26392,0.06725,0.91709,0.91042,0.90048,0.67324,0.31657,0.29567,0.17463,8.76E-05,8.76E-05,8.76E-05
63,9291.83,0.14045,0.20976,0.0472,0.86886,0.80749,0.7936,0.49177,0.54573,0.38204,0.38127,3.23E-05,3.23E-05,3.23E-05
23,9208.49,0.20536,0.2647,0.06804,0.91924,0.90827,0.89681,0.67469,0.31561,0.29735,0.17686,8.86E-05,8.86E-05,8.86E-05
62,8888.06,0.14209,0.21242,0.04789,0.86485,0.80103,0.78706,0.48577,0.55468,0.3822,0.39106,3.37E-05,3.37E-05,3.37E-05
22,8807.63,0.20935,0.26852,0.06968,0.92029,0.9031,0.89117,0.67164,0.32456,0.29463,0.19039,8.96E-05,8.96E-05,8.96E-05
61,8485.51,0.14341,0.21299,0.04826,0.8548,0.79613,0.78121,0.47978,0.56503,0.38304,0.40219,3.52E-05,3.52E-05,3.52E-05
21,8407.06,0.21363,0.27056,0.071,0.91944,0.90377,0.89821,0.67833,0.31297,0.2989,0.17612,9.05E-05,9.05E-05,9.05E-05
60,8082.34,0.14341,0.21301,0.04826,0.85503,0.7917,0.77659,0.47341,0.57663,0.3862,0.41575,3.67E-05,3.67E-05,3.67E-05
20,8006.78,0.21417,0.27058,0.07101,0.91883,0.90408,0.89458,0.6702,0.31484,0.30487,0.18607,9.14E-05,9.14E-05,9.14E-05
59,7678.76,0.14592,0.21563,0.04909,0.8459,0.7851,0.76795,0.4647,0.59086,0.39153,0.43494,3.82E-05,3.82E-05,3.82E-05
19,7605.7,0.21898,0.27444,0.07288,0.91992,0.90555,0.89757,0.6767,0.31017,0.30537,0.17549,9.23E-05,9.23E-05,9.23E-05
58,7276.39,0.14845,0.21889,0.04971,0.84079,0.77799,0.76299,0.45379,0.60555,0.39831,0.45263,3.97E-05,3.97E-05,3.97E-05
18,7204.82,0.22187,0.27659,0.07316,0.92039,0.90676,0.89624,0.67872,0.30868,0.29964,0.17524,9.31E-05,9.31E-05,9.31E-05
57,6872.46,0.14967,0.21927,0.05002,0.83311,0.76744,0.75531,0.43958,0.62274,0.40673,0.47404,4.12E-05,4.12E-05,4.12E-05
17,6803.81,0.22528,0.2787,0.07445,0.92418,0.91693,0.91346,0.68733,0.30232,0.29363,0.16205,9.39E-05,9.39E-05,9.39E-05
56,6470.87,0.15016,0.21952,0.0503,0.82669,0.76486,0.74974,0.42467,0.64647,0.42466,0.49969,4.28E-05,4.28E-05,4.28E-05
16,6403.54,0.22884,0.28133,0.07584,0.91223,0.90138,0.88509,0.66941,0.31447,0.30098,0.18689,9.46E-05,9.46E-05,9.46E-05
55,6071.01,0.1532,0.22315,0.05138,0.8177,0.7627,0.74536,0.40985,0.66707,0.44514,0.52215,4.43E-05,4.43E-05,4.43E-05
15,6003.35,0.23347,0.28418,0.07752,0.92364,0.90461,0.91201,0.68539,0.30562,0.29444,0.17142,9.53E-05,9.53E-05,9.53E-05
54,5669.93,0.15378,0.22357,0.05126,0.81884,0.7584,0.74301,0.40151,0.67889,0.46432,0.5385,4.58E-05,4.58E-05,4.58E-05
14,5602.85,0.23553,0.28563,0.07766,0.92169,0.90289,0.90132,0.68232,0.30388,0.30119,0.17968,9.59E-05,9.59E-05,9.59E-05
53,5269.86,0.15441,0.22441,0.05158,0.81361,0.76055,0.74263,0.39623,0.68252,0.49221,0.541,4.74E-05,4.74E-05,4.74E-05
13,5202.06,0.23991,0.28815,0.07933,0.93862,0.91473,0.92608,0.70279,0.29389,0.28844,0.15577,9.65E-05,9.65E-05,9.65E-05
52,4867.09,0.15878,0.22794,0.05268,0.80502,0.76357,0.74234,0.39201,0.68313,0.52078,0.53778,4.89E-05,4.89E-05,4.89E-05
12,4801.75,0.24445,0.29054,0.08065,0.92005,0.90159,0.89114,0.67744,0.30766,0.30054,0.18432,9.71E-05,9.71E-05,9.71E-05
51,4462.75,0.15799,0.22804,0.05297,0.80427,0.76615,0.74631,0.39012,0.67957,0.53817,0.53103,5.05E-05,5.05E-05,5.05E-05
11,4401.8,0.24857,0.29447,0.08258,0.92052,0.90827,0.8998,0.68389,0.30607,0.29763,0.17964,9.76E-05,9.76E-05,9.76E-05
50,4060.52,0.15945,0.23019,0.05362,0.80315,0.76873,0.7485,0.39115,0.67333,0.541,0.52118,5.21E-05,5.21E-05,5.21E-05
10,4000.49,0.2518,0.29694,0.08409,0.91104,0.90482,0.88434,0.68345,0.30434,0.30384,0.18071,9.80E-05,9.80E-05,9.80E-05
49,3654.24,0.16246,0.23206,0.05409,0.79504,0.77326,0.74917,0.39261,0.66814,0.53819,0.51166,5.36E-05,5.36E-05,5.36E-05
9,3600.49,0.2596,0.30223,0.08629,0.90437,0.91236,0.88734,0.67541,0.30016,0.30266,0.1777,9.84E-05,9.84E-05,9.84E-05
48,3247.4,0.16152,0.23143,0.05416,0.8043,0.78239,0.76006,0.39789,0.65756,0.53057,0.49997,5.52E-05,5.52E-05,5.52E-05
8,3200.93,0.26484,0.3053,0.08875,0.91997,0.91107,0.90562,0.69095,0.29829,0.30091,0.17491,9.88E-05,9.88E-05,9.88E-05
47,2841.73,0.16289,0.23365,0.05485,0.80708,0.79845,0.771,0.40393,0.64954,0.5293,0.49897,5.67E-05,5.67E-05,5.67E-05
7,2802.97,0.27174,0.30778,0.09183,0.93123,0.91882,0.92064,0.69863,0.28906,0.29061,0.15802,9.91E-05,9.91E-05,9.91E-05
46,2435.85,0.16368,0.23385,0.05494,0.81747,0.81638,0.78844,0.41756,0.62971,0.52321,0.49121,5.82E-05,5.82E-05,5.82E-05
6,2406.73,0.28046,0.315,0.09473,0.91633,0.92334,0.90608,0.69281,0.29612,0.29689,0.16579,9.94E-05,9.94E-05,9.94E-05
45,2029.78,0.16401,0.23507,0.05524,0.8331,0.83258,0.80585,0.45117,0.57982,0.47672,0.43568,5.98E-05,5.98E-05,5.98E-05
5,2009.71,0.28927,0.32211,0.09803,0.92878,0.91322,0.91748,0.70045,0.29227,0.28795,0.16868,9.96E-05,9.96E-05,9.96E-05
44,1623.61,0.16485,0.23511,0.05512,0.86,0.85423,0.83354,0.51202,0.5084,0.41769,0.36271,6.13E-05,6.13E-05,6.13E-05
4,1612.61,0.30776,0.33554,0.10518,0.90184,0.91667,0.89092,0.682,0.2948,0.29536,0.17289,9.98E-05,9.98E-05,9.98E-05
43,1218.87,0.16616,0.23726,0.0559,0.88828,0.87472,0.8573,0.559,0.45924,0.39728,0.31734,6.28E-05,6.28E-05,6.28E-05
3,1214.06,0.3478,0.37221,0.12244,0.92412,0.91635,0.91918,0.69722,0.27995,0.30816,0.15028,9.99E-05,9.99E-05,0.000138759
2,815.823,0.51056,0.43579,0.17452,0.85941,0.90064,0.85843,0.65534,0.31093,0.32928,0.18572,6.66E-05,6.66E-05,0.0334388
42,813.003,0.17067,0.24464,0.05757,0.91162,0.89664,0.889,0.62356,0.36915,0.34573,0.22975,6.43E-05,6.43E-05,6.43E-05
1,416.936,0.54385,1.15784,0.21862,0.67883,0.6686,0.64693,0.47046,0.34539,0.63343,0.22897,3.33E-05,3.33E-05,0.0667389
41,407.35,0.29413,0.40694,0.16503,0.91327,0.89858,0.89145,0.66585,0.32443,0.30605,0.18068,6.58E-05,6.58E-05,6.58E-05
,6.705694444,,,,,,,,,,,,,
